date,photon_density
2019-08-28 04:21:32,4.7722
2019-08-28 04:22:36,4.1958
2019-08-28 04:23:40,4.8157
2019-08-28 04:24:44,4.5088
2019-08-28 04:25:48,4.7826
2019-08-28 04:26:52,5.0451
2019-08-28 04:27:56, 4.859
2019-08-28 04:29:00,3.9911
2019-08-28 04:30:04,4.2035
2019-08-28 04:31:08,4.2741
2019-08-28 04:32:12,4.4447
2019-08-28 04:33:16,5.0424
2019-08-28 04:34:20,5.0528
2019-08-28 04:35:24, 4.326
2019-08-28 04:36:28,4.2381
2019-08-28 04:37:32,3.7928
2019-08-28 04:38:36,4.4509
2019-08-28 04:39:40,3.9828
2019-08-28 04:40:44,4.0937
2019-08-28 04:41:48,4.3164
2019-08-28 04:42:52,   NaN
2019-08-28 04:43:56,4.2338
2019-08-28 04:45:00,4.3388
2019-08-28 04:46:04,4.2175
2019-08-28 04:47:08,4.0747
2019-08-28 04:48:12,4.3071
2019-08-28 04:49:16,4.1916
2019-08-28 04:50:20,4.8085
2019-08-28 04:51:24,4.6282
2019-08-28 04:52:28,4.7636
2019-08-28 04:53:32,4.7979
2019-08-28 04:54:36,4.8638
2019-08-28 04:55:40,4.7141
2019-08-28 04:56:44,4.7333
2019-08-28 04:57:48,4.7168
2019-08-28 04:58:52,4.7823
2019-08-28 04:59:56,4.4781
2019-08-28 05:01:00,4.6649
2019-08-28 05:02:04,4.7169
2019-08-28 05:03:08,4.5143
2019-08-28 05:04:12,4.7907
2019-08-28 05:05:16,4.6268
2019-08-28 05:06:20,4.8316
2019-08-28 05:07:24,4.5403
2019-08-28 05:08:28,4.5013
2019-08-28 05:09:32,4.6507
2019-08-28 05:10:36,   NaN
2019-08-28 05:11:40, 4.364
2019-08-28 05:12:44,4.2876
2019-08-28 05:13:48,4.3917
2019-08-28 05:14:52,4.2607
2019-08-28 05:15:56,   NaN
2019-08-28 05:17:00, 4.144
2019-08-28 05:18:04,4.4648
2019-08-28 05:19:08,4.0974
2019-08-28 05:20:12,4.2654
2019-08-28 05:21:16,4.1666
2019-08-28 05:22:20,4.4673
2019-08-28 05:23:24,4.2321
2019-08-28 05:24:28,4.6809
2019-08-28 05:25:32,4.1749
2019-08-28 05:26:36,4.8071
2019-08-28 05:27:40,4.6847
2019-08-28 05:28:44,4.9095
2019-08-28 05:29:48,4.4504
2019-08-28 05:30:52,   NaN
2019-08-28 05:31:56,4.3498
2019-08-28 05:33:00,4.5434
2019-08-28 05:34:04,4.7363
2019-08-28 05:35:08,4.2856
2019-08-28 05:36:12,4.2095
2019-08-28 05:37:16,4.6253
2019-08-28 05:38:20,4.2977
2019-08-28 05:39:24,4.6499
2019-08-28 05:40:28,4.1079
2019-08-28 05:41:32,4.3433
2019-08-28 05:42:36,4.4836
2019-08-28 05:43:40,4.2622
2019-08-28 05:44:44,4.4875
2019-08-28 05:45:48,4.4127
2019-08-28 05:46:52,4.0706
2019-08-28 05:47:56,4.3938
2019-08-28 05:49:00,   NaN
2019-08-28 05:50:04,3.8715
2019-08-28 05:51:08,3.9198
2019-08-28 05:52:12,3.5435
2019-08-28 05:53:16,3.5737
2019-08-28 05:54:20,3.7699
2019-08-28 05:55:24,4.1336
2019-08-28 05:56:28,4.0878
2019-08-28 05:57:32,4.1244
2019-08-28 05:58:36,3.8624
2019-08-28 05:59:40,3.9117
2019-08-28 06:00:44,3.7547
2019-08-28 06:01:48,3.7817
2019-08-28 06:02:52,3.5643
2019-08-28 06:03:56,3.5845
2019-08-28 06:05:00,   NaN
2019-08-28 06:06:04, 3.723
2019-08-28 06:07:08,3.8534
2019-08-28 06:08:12,3.8365
2019-08-28 06:09:16,3.8519
2019-08-28 06:10:20,3.4197
2019-08-28 06:11:24,3.3242
2019-08-28 06:12:28,3.6112
2019-08-28 06:13:32,3.4781
2019-08-28 06:14:36,3.5752
2019-08-28 06:15:40,3.2739
2019-08-28 06:16:44, 3.509
2019-08-28 06:17:48,3.2758
2019-08-28 06:18:52,3.5632
2019-08-28 06:19:56,3.2321
2019-08-28 06:21:00, 3.504
2019-08-28 06:22:04,   NaN
2019-08-28 06:23:08,3.0948
2019-08-28 06:24:12,3.2391
2019-08-28 06:25:16,3.7359
2019-08-28 06:26:20,3.2344
2019-08-28 06:27:24,2.9678
2019-08-28 06:28:28,3.0162
2019-08-28 06:29:32,2.9886
2019-08-28 06:30:36,3.4393
2019-08-28 06:31:40,3.4643
2019-08-28 06:32:44,3.3098
2019-08-28 06:33:48,3.4169
2019-08-28 06:34:52, 3.414
2019-08-28 06:35:56, 3.416
2019-08-28 06:37:00,3.3766
2019-08-28 06:38:04, 3.342
2019-08-28 06:39:08,3.2688
2019-08-28 06:40:12,3.2797
2019-08-28 06:41:16,3.5019
2019-08-28 06:42:20,3.3893
2019-08-28 06:43:24,3.3887
2019-08-28 06:44:28,3.1163
2019-08-28 06:45:32,3.3108
2019-08-28 06:46:36, 3.191
2019-08-28 06:47:40,3.5269
2019-08-28 06:48:44,3.4429
2019-08-28 06:49:48,3.2472
2019-08-28 06:50:52,   NaN
2019-08-28 06:51:56,3.6159
2019-08-28 06:53:00,3.6563
2019-08-28 06:54:04, 4.077
2019-08-28 06:55:08,   NaN
2019-08-28 06:56:12,3.9074
2019-08-28 06:57:16,3.8044
2019-08-28 06:58:20,3.8497
2019-08-28 06:59:24,3.3927
2019-08-28 07:00:28,3.7539
2019-08-28 07:01:32,4.1843
2019-08-28 07:02:36,3.7051
2019-08-28 07:03:40,3.2228
2019-08-28 07:04:44,3.1447
2019-08-28 07:05:48,3.4855
2019-08-28 07:06:52,3.1969
2019-08-28 07:07:56,3.1473
2019-08-28 07:09:00,3.3309
2019-08-28 07:10:04,3.0708
2019-08-28 07:11:08,3.2695
2019-08-28 07:12:12,2.9344
2019-08-28 07:13:16,3.1216
2019-08-28 07:14:20,3.0625
2019-08-28 07:15:24,3.6731
2019-08-28 07:16:28,3.5209
2019-08-28 07:17:32,3.4735
2019-08-28 07:18:36,3.5006
2019-08-28 07:19:40,3.4452
2019-08-28 07:20:44,3.5255
2019-08-28 07:21:48,3.5404
2019-08-28 07:22:52,3.6662
2019-08-28 07:23:56,3.4774
2019-08-28 07:25:00,3.2753
2019-08-28 07:26:04,3.4756
2019-08-28 07:27:08, 3.685
2019-08-28 07:28:12,   NaN
2019-08-28 07:29:16, 3.395
2019-08-28 07:30:20,3.5269
2019-08-28 07:31:24,3.4532
2019-08-28 07:32:28,3.5562
2019-08-28 07:33:32,3.1504
2019-08-28 07:34:36,3.5471
2019-08-28 07:35:40,3.3903
2019-08-28 07:36:44,3.5419
2019-08-28 07:37:48,3.3573
2019-08-28 07:38:52,3.6003
2019-08-28 07:39:56,3.3251
2019-08-28 07:41:00,3.3853
2019-08-28 07:42:04,3.1727
2019-08-28 07:43:08,3.4459
